READ SERR 1
@norm_1ph_per_keVcm2s_wabs-0.pco
!
0.100062184 6.21847212E-5 3.80720594E-5
0.100186631 6.22620573E-5 3.93899463E-5
0.100311235 6.23394953E-5 4.07487314E-5
0.100435987 6.24170207E-5 4.21495861E-5
0.100560904 6.24946479E-5 4.3593689E-5
0.100685969 6.25723769E-5 4.50821099E-5
0.100811191 6.26501933E-5 4.66160855E-5
0.100936569 6.27281115E-5 4.81968564E-5
0.101062104 6.28061316E-5 4.98256231E-5
0.101187795 6.2884239E-5 5.15036882E-5
0.101313643 6.29624483E-5 5.32323247E-5
0.10143964 6.30407521E-5 5.50128971E-5
0.101565801 6.31191579E-5 5.68467367E-5
0.101692118 6.31976582E-5 5.87353206E-5
0.101818591 6.32762603E-5 6.06799076E-5
0.101945229 6.33549571E-5 6.26819092E-5
0.102072015 6.34337484E-5 6.47430279E-5
0.102198958 6.35126416E-5 6.6864668E-5
0.102326065 6.35916294E-5 6.9048263E-5
0.102453329 6.36707191E-5 7.12955298E-5
0.102580748 6.37499033E-5 7.36079965E-5
0.102708325 6.38291895E-5 7.59872419E-5
0.102836065 6.39085774E-5 7.84351723E-5
0.102963962 6.398806E-5 8.09532212E-5
0.103092015 6.40676371E-5 8.35432002E-5
0.103220232 6.41473234E-5 8.6207081E-5
0.103348605 6.4227097E-5 8.89464791E-5
0.103477143 6.43069798E-5 9.17632133E-5
0.103605837 6.43869571E-5 9.46592263E-5
0.103734687 6.44670363E-5 9.76364827E-5
0.103863701 6.45472101E-5 1.00696911E-4
0.103992879 6.4627493E-5 1.0384238E-4
0.104122214 6.47078632E-5 1.07075175E-4
0.104251713 6.47883426E-5 1.10397399E-4
0.104381368 6.48689165E-5 1.13810813E-4
0.104511186 6.49495996E-5 1.17317752E-4
0.104641162 6.50303773E-5 1.20920573E-4
0.104771309 6.51112496E-5 1.2462138E-4
0.104901612 6.5192231E-5 1.28422485E-4
0.105032079 6.5273307E-5 1.32326008E-4
0.105162703 6.53544921E-5 1.36334464E-4
0.10529349 6.54357718E-5 1.40450487E-4
0.105424449 6.55171534E-5 1.44676233E-4
0.105555564 6.55986369E-5 1.49014188E-4
0.105686843 6.56802222E-5 1.53467205E-4
0.105818287 6.57619094E-5 1.58037845E-4
0.105949886 6.58436984E-5 1.6272848E-4
0.106081657 6.5925582E-5 1.67541788E-4
0.106213592 6.60075748E-5 1.72480533E-4
0.106345691 6.60896694E-5 1.77547408E-4
0.106477953 6.61718659E-5 1.82745454E-4
0.106610373 6.62541643E-5 1.88077567E-4
0.106742963 6.63365645E-5 1.93546788E-4
0.106875725 6.64190666E-5 1.9915578E-4
0.107008643 6.65016705E-5 2.04907788E-4
0.107141726 6.65843763E-5 2.10805811E-4
0.107274979 6.66671913E-5 2.16852713E-4
0.107408397 6.67501008E-5 2.23052019E-4
0.107541978 6.68331195E-5 2.29406854E-4
0.107675731 6.691624E-5 2.35920641E-4
0.107809648 6.69994624E-5 2.42596769E-4
0.107943729 6.70827867E-5 2.49438424E-4
0.108077981 6.71662201E-5 2.5644881E-4
0.108212397 6.72497554E-5 2.63631926E-4
0.108346976 6.73333925E-5 2.70991062E-4
0.108481728 6.74171315E-5 2.78530148E-4
0.108616643 6.75009796E-5 2.86252587E-4
0.108751729 6.75849296E-5 2.94161844E-4
